Wall time,Step,Value
1597875354.937341,158400,21.100000381469727
1597876119.028979,316800,24.600000381469727
1597876922.853517,475200,26.100000381469727
1597877696.175954,633600,30.600000381469727
1597878526.736316,792000,37.79999923706055
1597879307.432088,950400,41.70000076293945
1597880131.524704,1108800,43.099998474121094
1597880918.403728,1267200,47.29999923706055
1597881771.270624,1425600,49.900001525878906
1597882599.55522,1584000,51.29999923706055
1597883464.416091,1742400,56.099998474121094
1597884291.808111,1900800,58.20000076293945
1597885155.671382,2059200,59.599998474121094
1597885975.514769,2217600,58.70000076293945
1597886853.61198,2376000,60.099998474121094
1597887693.413119,2534400,64.30000305175781
1597888574.804209,2692800,66.5
1597889415.181938,2851200,71.19999694824219
1597890299.379547,3009600,75.0
1597891150.755042,3168000,73.4000015258789
1597892019.604957,3326400,74.4000015258789
1597892853.225613,3484800,75.5
1597893723.242518,3643200,76.80000305175781
1597894558.285764,3801600,76.19999694824219
1597895433.755858,3960000,76.5
1597896272.584937,4118400,83.5999984741211
1597897155.761231,4276800,83.30000305175781
1597897996.58729,4435200,82.5
1597898879.225057,4593600,84.0
1597899730.672835,4752000,82.5999984741211
1597900618.815208,4910400,82.9000015258789
1597901465.220862,5068800,76.5
1597902341.176068,5227200,84.19999694824219
1597903190.760773,5385600,84.19999694824219
1597904080.720593,5544000,80.9000015258789
1597904927.394351,5702400,85.4000015258789
1597905811.798532,5860800,80.5
1597906661.144774,6019200,85.30000305175781
1597907544.825933,6177600,79.9000015258789
1597908393.163341,6336000,83.9000015258789
1597909269.821006,6494400,82.69999694824219
1597910111.522354,6652800,87.80000305175781
1597910996.746069,6811200,88.19999694824219
1597911850.040068,6969600,86.69999694824219
1597912744.209469,7128000,87.69999694824219
1597913600.390996,7286400,89.0999984741211
1597914497.374408,7444800,89.5
1597915351.667516,7603200,89.5999984741211
1597916253.413501,7761600,82.69999694824219
1597917108.784191,7920000,89.0
1597917997.471775,8078400,90.4000015258789
1597918846.489877,8236800,82.19999694824219
1597919735.154053,8395200,87.4000015258789
1597920588.079606,8553600,86.80000305175781
1597921483.947643,8712000,91.19999694824219
1597922340.706087,8870400,89.0
1597923233.580286,9028800,87.19999694824219
1597924085.509862,9187200,94.4000015258789
1597924981.329344,9345600,92.69999694824219
1597925837.868157,9504000,89.30000305175781
1597926726.117773,9662400,92.5
1597927576.014372,9820800,90.4000015258789
1597928479.413389,9979200,88.0
